product_id,warehouse,stock_quantity
1,Toronto-DC,89
1,Vancouver-DC,93
1,Montreal-DC,61
1,Calgary-DC,37
2,Toronto-DC,317
2,Vancouver-DC,372
2,Montreal-DC,133
2,Calgary-DC,465
3,Toronto-DC,410
3,Vancouver-DC,169
3,Montreal-DC,487
3,Calgary-DC,489
4,Toronto-DC,386
4,Vancouver-DC,357
4,Montreal-DC,252
4,Calgary-DC,92
5,Toronto-DC,9
5,Vancouver-DC,455
5,Montreal-DC,440
5,Calgary-DC,177
6,Toronto-DC,191
6,Vancouver-DC,163
6,Montreal-DC,116
6,Calgary-DC,83
7,Toronto-DC,51
7,Vancouver-DC,203
7,Montreal-DC,414
7,Calgary-DC,496
8,Toronto-DC,479
8,Vancouver-DC,376
8,Montreal-DC,-33
8,Calgary-DC,332
9,Toronto-DC,464
9,Vancouver-DC,398
9,Montreal-DC,398
9,Calgary-DC,454
10,Toronto-DC,282
10,Vancouver-DC,429
10,Montreal-DC,166
10,Calgary-DC,450
11,Toronto-DC,423
11,Vancouver-DC,180
11,Montreal-DC,162
11,Calgary-DC,0
12,Toronto-DC,78
12,Vancouver-DC,198
12,Montreal-DC,421
12,Calgary-DC,473
13,Toronto-DC,305
13,Vancouver-DC,145
13,Montreal-DC,408
13,Calgary-DC,188
14,Toronto-DC,7
14,Vancouver-DC,180
14,Montreal-DC,495
14,Calgary-DC,267
15,Toronto-DC,417
15,Vancouver-DC,-22
15,Montreal-DC,372
15,Calgary-DC,200
16,Toronto-DC,27
16,Vancouver-DC,236
16,Montreal-DC,81
16,Calgary-DC,76
17,Toronto-DC,286
17,Vancouver-DC,257
17,Montreal-DC,144
17,,400
18,Toronto-DC,296
18,Vancouver-DC,295
18,Montreal-DC,102
18,Calgary-DC,491
19,Toronto-DC,487
19,Vancouver-DC,296
19,Montreal-DC,76
19,Calgary-DC,406
20,Toronto-DC,373
20,Vancouver-DC,423
20,Montreal-DC,272
20,Calgary-DC,324
21,Toronto-DC,495
21,Vancouver-DC,286
21,Montreal-DC,374
21,Calgary-DC,364
22,Toronto-DC,364
22,Vancouver-DC,208
22,Montreal-DC,448
22,,198
23,Toronto-DC,258
23,Vancouver-DC,296
23,Montreal-DC,270
23,Calgary-DC,7
24,Toronto-DC,50
24,Vancouver-DC,15
24,Montreal-DC,204
24,Calgary-DC,323
25,Toronto-DC,347
25,Vancouver-DC,174
25,Montreal-DC,481
25,Calgary-DC,393
26,Toronto-DC,455
26,Vancouver-DC,454
26,Montreal-DC,-8
26,Calgary-DC,92
27,Toronto-DC,271
27,Vancouver-DC,176
27,Montreal-DC,145
27,Calgary-DC,488
28,Toronto-DC,159
28,Vancouver-DC,375
28,Montreal-DC,100
28,Calgary-DC,16
29,Toronto-DC,160
29,Vancouver-DC,89
29,Montreal-DC,338
29,Calgary-DC,108
30,Toronto-DC,382
30,Vancouver-DC,217
30,Montreal-DC,52
30,Calgary-DC,485
31,Toronto-DC,130
31,Vancouver-DC,444
31,Montreal-DC,-11
31,,391
32,Toronto-DC,48
32,Vancouver-DC,221
32,Montreal-DC,424
32,Calgary-DC,403
33,Toronto-DC,477
33,Vancouver-DC,496
33,Montreal-DC,119
33,Calgary-DC,334
34,Toronto-DC,-31
34,Vancouver-DC,9
34,Montreal-DC,235
34,Calgary-DC,326
35,Toronto-DC,82
35,Vancouver-DC,254
35,Montreal-DC,467
35,Calgary-DC,133
36,Toronto-DC,361
36,Vancouver-DC,71
36,Montreal-DC,458
36,Calgary-DC,14
37,Toronto-DC,23
37,Vancouver-DC,447
37,Montreal-DC,337
37,Calgary-DC,453
38,Toronto-DC,419
38,Vancouver-DC,326
38,Montreal-DC,437
38,Calgary-DC,178
39,Toronto-DC,27
39,Vancouver-DC,93
39,Montreal-DC,332
39,Calgary-DC,317
40,Toronto-DC,150
40,Vancouver-DC,411
40,Montreal-DC,402
40,Calgary-DC,2
41,Toronto-DC,453
41,Vancouver-DC,483
41,Montreal-DC,226
41,Calgary-DC,291
42,Toronto-DC,314
42,Vancouver-DC,116
42,Montreal-DC,308
42,Calgary-DC,465
43,Toronto-DC,226
43,Vancouver-DC,242
43,Montreal-DC,375
43,Calgary-DC,287
44,Toronto-DC,262
44,Vancouver-DC,432
44,Montreal-DC,42
44,Calgary-DC,24
45,Toronto-DC,476
45,Vancouver-DC,134
45,Montreal-DC,260
45,Calgary-DC,189
46,Toronto-DC,299
46,Vancouver-DC,51
46,Montreal-DC,480
46,Calgary-DC,178
47,Toronto-DC,395
47,Vancouver-DC,305
47,Montreal-DC,12
47,Calgary-DC,379
48,Toronto-DC,183
48,Vancouver-DC,442
48,Montreal-DC,135
48,Calgary-DC,87
49,Toronto-DC,451
49,Vancouver-DC,422
49,Montreal-DC,151
49,Calgary-DC,284
50,Toronto-DC,387
50,Vancouver-DC,228
50,Montreal-DC,267
50,Calgary-DC,144
51,Toronto-DC,324
51,Vancouver-DC,22
51,Montreal-DC,157
51,Calgary-DC,53
52,Toronto-DC,393
52,Vancouver-DC,157
52,Montreal-DC,255
52,Calgary-DC,495
53,Toronto-DC,53
53,Vancouver-DC,133
53,Montreal-DC,3
53,Calgary-DC,348
54,Toronto-DC,262
54,Vancouver-DC,440
54,Montreal-DC,387
54,Calgary-DC,464
55,Toronto-DC,401
55,Vancouver-DC,265
55,Montreal-DC,237
55,Calgary-DC,249
56,Toronto-DC,417
56,Vancouver-DC,295
56,Montreal-DC,388
56,Calgary-DC,178
57,Toronto-DC,433
57,Vancouver-DC,402
57,Montreal-DC,-47
57,Calgary-DC,165
58,Toronto-DC,357
58,Vancouver-DC,481
58,Montreal-DC,205
58,Calgary-DC,312
59,Toronto-DC,301
59,Vancouver-DC,425
59,Montreal-DC,82
59,Calgary-DC,68
60,Toronto-DC,302
60,Vancouver-DC,58
60,Montreal-DC,478
60,Calgary-DC,330
61,Toronto-DC,102
61,Vancouver-DC,233
61,Montreal-DC,323
61,Calgary-DC,393
62,Toronto-DC,298
62,Vancouver-DC,17
62,Montreal-DC,321
62,Calgary-DC,32
63,Toronto-DC,203
63,Vancouver-DC,283
63,Montreal-DC,268
63,Calgary-DC,144
64,Toronto-DC,345
64,Vancouver-DC,7
64,Montreal-DC,157
64,Calgary-DC,357
65,Toronto-DC,244
65,Vancouver-DC,-24
65,Montreal-DC,-43
65,Calgary-DC,353
66,Toronto-DC,120
66,Vancouver-DC,117
66,Montreal-DC,5
66,Calgary-DC,399
67,Toronto-DC,319
67,Vancouver-DC,354
67,Montreal-DC,500
67,Calgary-DC,476
68,Toronto-DC,297
68,Vancouver-DC,158
68,Montreal-DC,241
68,Calgary-DC,396
69,Toronto-DC,328
69,Vancouver-DC,305
69,Montreal-DC,51
69,Calgary-DC,156
70,Toronto-DC,52
70,Vancouver-DC,462
70,Montreal-DC,160
70,Calgary-DC,335
71,Toronto-DC,414
71,Vancouver-DC,295
71,Montreal-DC,95
71,Calgary-DC,392
72,Toronto-DC,488
72,Vancouver-DC,455
72,Montreal-DC,256
72,Calgary-DC,154
73,Toronto-DC,70
73,Vancouver-DC,239
73,Montreal-DC,450
73,Calgary-DC,483
74,Toronto-DC,194
74,Vancouver-DC,251
74,Montreal-DC,420
74,Calgary-DC,430
75,Toronto-DC,233
75,Vancouver-DC,142
75,Montreal-DC,52
75,Calgary-DC,221
76,Toronto-DC,172
76,Vancouver-DC,123
76,Montreal-DC,398
76,Calgary-DC,227
77,Toronto-DC,-20
77,Vancouver-DC,469
77,Montreal-DC,208
77,Calgary-DC,376
78,Toronto-DC,192
78,Vancouver-DC,390
78,Montreal-DC,492
78,Calgary-DC,225
79,Toronto-DC,284
79,Vancouver-DC,175
79,Montreal-DC,423
79,Calgary-DC,214
80,Toronto-DC,105
80,Vancouver-DC,350
80,Montreal-DC,226
80,Calgary-DC,51
81,Toronto-DC,193
81,Vancouver-DC,151
81,Montreal-DC,121
81,Calgary-DC,203
82,Toronto-DC,34
82,Vancouver-DC,334
82,Montreal-DC,-12
82,Calgary-DC,58
83,Toronto-DC,48
83,Vancouver-DC,490
83,Montreal-DC,207
83,Calgary-DC,412
84,Toronto-DC,265
84,Vancouver-DC,188
84,Montreal-DC,300
84,Calgary-DC,415
85,Toronto-DC,190
85,Vancouver-DC,449
85,Montreal-DC,70
85,Calgary-DC,159
86,Toronto-DC,36
86,Vancouver-DC,463
86,Montreal-DC,253
86,Calgary-DC,60
87,Toronto-DC,220
87,Vancouver-DC,267
87,Montreal-DC,252
87,Calgary-DC,154
88,Toronto-DC,251
88,Vancouver-DC,280
88,Montreal-DC,83
88,Calgary-DC,161
89,Toronto-DC,208
89,Vancouver-DC,326
89,Montreal-DC,126
89,Calgary-DC,139
90,Toronto-DC,374
90,Vancouver-DC,378
90,Montreal-DC,104
90,Calgary-DC,88
91,Toronto-DC,166
91,Vancouver-DC,44
91,Montreal-DC,5
91,Calgary-DC,62
92,Toronto-DC,436
92,Vancouver-DC,41
92,Montreal-DC,13
92,Calgary-DC,84
93,Toronto-DC,336
93,Vancouver-DC,473
93,Montreal-DC,411
93,Calgary-DC,478
94,Toronto-DC,285
94,Vancouver-DC,267
94,Montreal-DC,103
94,Calgary-DC,355
95,Toronto-DC,60
95,Vancouver-DC,401
95,Montreal-DC,137
95,Calgary-DC,292
96,Toronto-DC,341
96,Vancouver-DC,395
96,Montreal-DC,34
96,Calgary-DC,138
97,Toronto-DC,39
97,Vancouver-DC,27
97,Montreal-DC,43
97,Calgary-DC,45
98,Toronto-DC,379
98,Vancouver-DC,66
98,Montreal-DC,23
98,Calgary-DC,412
99,Toronto-DC,41
99,Vancouver-DC,331
99,Montreal-DC,232
99,Calgary-DC,415
100,Toronto-DC,156
100,Vancouver-DC,239
100,Montreal-DC,132
100,Calgary-DC,358
101,Toronto-DC,286
101,Vancouver-DC,47
101,Montreal-DC,160
101,Calgary-DC,351
102,Toronto-DC,243
102,Vancouver-DC,291
102,Montreal-DC,223
102,Calgary-DC,49
103,Toronto-DC,301
103,Vancouver-DC,445
103,Montreal-DC,415
103,Calgary-DC,140
104,Toronto-DC,453
104,Vancouver-DC,66
104,Montreal-DC,96
104,Calgary-DC,398
105,Toronto-DC,256
105,Vancouver-DC,28
105,Montreal-DC,95
105,Calgary-DC,378
106,Toronto-DC,34
106,Vancouver-DC,88
106,Montreal-DC,131
106,Calgary-DC,164
107,Toronto-DC,411
107,Vancouver-DC,355
107,,275
107,Calgary-DC,78
108,Toronto-DC,134
108,Vancouver-DC,438
108,Montreal-DC,399
108,Calgary-DC,244
109,Toronto-DC,383
109,Vancouver-DC,4
109,Montreal-DC,260
109,Calgary-DC,495
110,Toronto-DC,12
110,Vancouver-DC,383
110,Montreal-DC,255
110,Calgary-DC,22
111,Toronto-DC,299
111,Vancouver-DC,92
111,Montreal-DC,236
111,Calgary-DC,264
112,Toronto-DC,329
112,Vancouver-DC,402
112,Montreal-DC,185
112,Calgary-DC,229
113,Toronto-DC,137
113,Vancouver-DC,374
113,Montreal-DC,98
113,Calgary-DC,209
114,Toronto-DC,355
114,Vancouver-DC,147
114,Montreal-DC,83
