order_id,customer_id,product_id,quantity,amount,order_date,discount
1,571.0,110,2,1447.22,2026-05-31,
2,209.0,33,5,773.65,2026-02-15,
3,750.0,275,2,1343.98,2026-07-15,
4,938.0,167,2,862.56,2025-12-03,
5,1374.0,59,3,186.87,2026-03-14,
6,1979.0,251,5,4366.35,2026-04-02,
7,796.0,161,5,1849.35,2026-06-08,
8,,201,5,1955.5,2026-07-03,
9,1732.0,179,3,1612.05,2025-10-19,
10,354.0,235,5,4458.0,2025-10-12,
11,1209.0,153,5,4453.15,2026-07-16,
12,642.0,44,2,933.46,2025-10-17,
13,626.0,61,2,1290.94,2025-09-16,
14,765.0,60,2,1651.3,2025-10-15,
15,796.0,73,5,738.9,2026-06-26,
16,283.0,215,5,1526.2,2026-06-04,
17,867.0,295,4,1667.28,2026-06-14,
18,1302.0,96,4,1158.32,2026-06-19,
19,1137.0,276,2,640.52,2025-10-30,
20,592.0,86,4,2798.32,2025-11-27,
21,645.0,72,2,984.2,2026-06-04,
22,110.0,231,5,3666.5,2025-09-28,
23,993.0,184,1,363.06,2026-06-02,
24,1670.0,70,2,883.94,2026-01-18,
25,1036.0,197,5,1978.3,2026-01-08,
26,1403.0,254,4,2498.16,2026-03-12,
27,1455.0,252,4,2855.4,2026-03-10,
28,,228,4,2427.92,2026-08-04,
29,64.0,43,5,3396.2,2025-08-26,
30,67.0,113,3,1961.07,2026-01-10,
31,,141,2,316.1,2026-04-03,
32,1599.0,148,2,1000.46,2026-05-03,
33,1521.0,235,5,4458.0,2025-08-13,
34,1047.0,254,5,3122.7,2026-03-09,
35,234.0,58,5,1911.55,2026-02-04,
36,1687.0,138,5,1436.8,2025-10-04,
37,,188,5,2487.3,2026-01-06,
38,1119.0,22,4,542.48,2026-04-10,
39,210.0,112,4,1880.28,2025-09-19,
40,1792.0,127,3,2371.86,2026-01-29,
41,539.0,17,4,3046.76,2026-05-28,
42,900.0,179,1,537.35,2026-01-14,
43,,61,2,1290.94,2026-07-17,
44,1296.0,180,5,3211.65,2025-08-16,
45,1262.0,220,2,733.32,2026-04-11,
46,1667.0,72,2,984.2,2026-01-23,
47,1168.0,106,1,84.0,2025-10-11,
48,576.0,180,5,3211.65,2026-05-22,
49,663.0,276,2,640.52,2025-10-27,
50,1173.0,150,3,2152.95,2025-12-03,
51,1844.0,137,5,3719.0,2026-03-11,
52,1972.0,49,2,366.62,2026-05-13,
53,568.0,211,1,222.15,2025-11-01,
54,512.0,65,2,1228.68,2026-02-22,
55,1697.0,75,3,2385.15,2026-03-28,
56,1003.0,127,4,3162.48,2025-10-29,
57,1296.0,73,5,738.9,2025-12-09,
58,769.0,138,4,1149.44,2026-04-22,
59,1298.0,232,1,490.97,2026-04-19,
60,1056.0,48,4,1214.36,2026-03-26,
61,932.0,143,3,255.42,2026-07-23,
62,1192.0,250,3,1247.7,2025-12-23,
63,1497.0,2,1,660.22,2026-04-14,
64,1742.0,235,3,2674.8,2025-11-07,
65,815.0,33,5,773.65,2026-07-19,
66,1690.0,112,4,1880.28,2026-02-23,
67,550.0,109,4,602.6,2025-09-27,
68,692.0,166,3,685.35,2026-04-17,
69,268.0,281,5,798.45,2026-07-19,
70,1615.0,290,4,1693.48,2026-03-10,
71,95.0,176,1,432.85,2026-05-25,
72,34.0,51,4,1104.48,2025-08-11,
73,904.0,64,2,1625.72,2026-06-25,
