product_id,category,size,price,supplier
1,Vests,XXL,172.66,Supplier B
2,Jackets,L,660.22,Supplier C
3,Vests,L,621.67,Supplier C
4,Footwear,S,687.06,Supplier B
5,Footwear,S,306.14,Supplier C
6,Knitwear,L,623.34,Supplier D
7,Footwear,XL,701.72,Supplier D
8,Vests,XL,870.99,Supplier B
9,Jackets,XXL,790.78,Supplier D
10,Knitwear,XS,791.74,Supplier A
11,Vests,M,285.15,Supplier D
12,Vests,L,818.56,Supplier A
13,Vests,L,853.92,Supplier C
14,Footwear,XS,840.21,Supplier D
15,Vests,L,471.73,Supplier A
16,Jackets,M,362.42,Supplier A
17,Accessories,S,761.69,Supplier B
18,Footwear,XXL,72.94,Supplier B
19,Footwear,L,692.6,
20,Jackets,M,819.04,Supplier B
21,Knitwear,XXL,758.07,Supplier D
22,Accessories,S,135.62,Supplier C
23,Vests,L,144.79,Supplier D
24,Footwear,XL,94.01,Supplier A
25,Knitwear,S,583.48,Supplier B
26,Jackets,XL,290.49,Supplier C
27,Footwear,S,246.89,Supplier A
28,Accessories,XS,490.2,Supplier A
29,Footwear,XS,375.79,Supplier D
30,Accessories,XXL,883.69,Supplier A
31,Jackets,M,347.1,Supplier B
32,Jackets,XL,-182.21,Supplier C
33,Accessories,XL,154.73,Supplier C
34,Vests,XXL,739.62,Supplier D
35,Footwear,XXL,883.5,Supplier B
36,Jackets,XXL,737.89,Supplier D
37,Vests,XS,71.81,Supplier B
38,Accessories,M,801.78,Supplier D
39,Knitwear,L,890.65,Supplier C
40,Vests,M,71.49,Supplier C
41,Jackets,XXL,781.44,Supplier C
42,Accessories,L,274.97,Supplier D
43,Footwear,M,679.24,Supplier B
44,Footwear,M,466.73,
45,Footwear,XS,728.99,Supplier D
46,Vests,XL,558.11,Supplier C
47,Jackets,M,316.24,Supplier C
48,Knitwear,XXL,303.59,Supplier D
49,Footwear,M,183.31,Supplier D
50,Accessories,XL,76.43,Supplier D
51,Jackets,XS,276.12,Supplier D
52,Vests,XS,352.45,Supplier B
53,Footwear,XS,769.86,Supplier B
54,Accessories,M,97.82,Supplier D
55,Jackets,XL,856.54,Supplier B
56,Accessories,M,623.99,Supplier D
57,Knitwear,S,696.25,Supplier C
58,Accessories,S,382.31,Supplier A
59,Vests,L,62.29,Supplier D
60,Jackets,M,825.65,Supplier C
61,Vests,XL,645.47,Supplier C
62,Footwear,S,636.82,Supplier A
63,Jackets,L,156.73,Supplier B
64,Footwear,XS,812.86,Supplier C
65,Jackets,XL,614.34,Supplier C
66,Vests,XXL,806.55,Supplier B
67,Knitwear,S,722.58,Supplier A
68,Vests,S,887.21,Supplier D
69,Knitwear,XL,62.6,Supplier C
70,Knitwear,S,441.97,Supplier A
71,Footwear,XXL,96.54,Supplier D
72,Footwear,XL,492.1,Supplier A
73,Accessories,XXL,147.78,Supplier A
74,Knitwear,M,426.98,Supplier B
75,Knitwear,XXL,795.05,Supplier B
76,Vests,L,700.29,Supplier A
77,Knitwear,S,755.0,Supplier C
78,Accessories,XXL,181.61,Supplier B
79,Knitwear,M,337.58,Supplier A
80,Knitwear,M,255.52,Supplier B
81,Knitwear,XL,577.52,Supplier A
82,Vests,XL,472.21,Supplier B
83,Knitwear,XXL,187.23,Supplier C
84,Knitwear,XS,764.58,Supplier A
85,Knitwear,M,-28.37,Supplier B
86,Footwear,XL,699.58,Supplier A
87,Knitwear,M,468.31,Supplier C
88,Footwear,M,455.33,Supplier D
89,Jackets,S,102.76,Supplier D
90,Footwear,S,397.43,Supplier C
91,Accessories,XXL,561.73,Supplier C
92,Accessories,L,671.41,Supplier B
93,Knitwear,XL,694.17,Supplier A
94,Footwear,XS,314.44,Supplier C
95,Vests,XS,426.65,Supplier A
96,Footwear,XL,289.58,Supplier D
97,Vests,M,253.51,Supplier C
98,Vests,L,203.26,Supplier D
99,Accessories,L,468.93,Supplier A
100,Footwear,XL,117.44,Supplier D
101,Vests,XL,871.35,Supplier C
102,Accessories,L,81.85,Supplier D
103,Jackets,XS,285.74,Supplier D
104,Accessories,XXL,155.18,Supplier C
105,Accessories,XS,696.92,Supplier D
106,Knitwear,S,84.0,Supplier C
107,Jackets,L,515.77,Supplier D
108,Accessories,XL,697.39,Supplier A
109,Jackets,L,150.65,Supplier C
110,Accessories,XL,723.61,Supplier C
111,Vests,XL,689.27,Supplier D
112,Jackets,XS,470.07,Supplier B
113,Footwear,XL,653.69,Supplier D
114,Knitwear,S,168.09,Supplier C
115,Accessories,S,840.98,Supplier D
116,Accessories,XL,891.93,Supplier C
117,Knitwear,XL,476.29,Supplier D
118,Accessories,L,649.52,Supplier A
119,Jackets,L,356.79,Supplier C
120,Jackets,XL,725.21,Supplier D
121,Knitwear,XL,268.36,Supplier B
122,Knitwear,L,660.4,Supplier B
123,Knitwear,L,490.84,Supplier B
124,Vests,XS,746.63,Supplier A
125,Footwear,M,204.07,Supplier D
126,Vests,L,170.23,Supplier D
127,Jackets,XXL,790.62,Supplier B
128,Knitwear,M,486.07,Supplier D
129,Accessories,S,491.91,Supplier D
130,Accessories,XL,824.43,Supplier C
131,Accessories,XL,621.25,Supplier D
132,Vests,M,205.35,Supplier C
133,Accessories,M,233.39,Supplier B
134,Footwear,M,633.61,Supplier D
135,Accessories,M,-34.6,Supplier A
136,Knitwear,L,533.19,Supplier D
137,Vests,M,743.8,Supplier A
138,Jackets,M,287.36,Supplier D
139,Footwear,S,604.14,Supplier B
140,Accessories,XL,752.04,Supplier C
141,Knitwear,XXL,158.05,Supplier B
142,Knitwear,S,248.51,Supplier B
143,Footwear,M,85.14,Supplier D
144,Vests,XS,126.47,Supplier B
145,Footwear,L,389.94,Supplier B
146,Accessories,M,690.08,Supplier C
147,Jackets,XXL,595.47,Supplier B
148,Jackets,S,500.23,Supplier D
149,Vests,XS,798.73,Supplier D
150,Vests,XXL,717.65,Supplier C
151,Jackets,M,794.0,Supplier A
152,Accessories,M,838.47,Supplier D
153,Knitwear,XL,890.63,Supplier D
154,Vests,XL,804.76,Supplier D
155,Jackets,M,274.64,Supplier B
156,Accessories,XXL,668.76,Supplier B
